"무더위쉼터명,위도,경도,전화번호,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"영진보람아파트 경로당,36.965827,127.937972,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"대림아파트 경로당,36.965676,127.941655,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"신원8차아파트 경로당,36.962224,127.940737,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"신원10차아파트 경로당,36.964874,127.941791,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"용산아파트 경로당,36.958635,127.937102,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"용산3주공아파트 경로당,36.961108,127.945499,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"금추경로당,35.7036575,126.7724006,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"행상경로당,35.711698,126.7513992,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"포2리 복골 경로당,36.703608,128.517778,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"덕율1리경로당,36.710558,128.498226,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"덕율2리 경로당,36.701603,128.50194,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"소태면 복탄진료소,37.114466,127.821916,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"약천경로당,34.492593,126.743064,061-430-3934,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"계향2리 경로당,37.1453465,126.9857893,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"봉곡1구경로당,35.641203,128.107874,055-930-3489,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"새솔동 대방1차 경로당(4통),37.286,126.8193,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"하청 경로당,37.091104,127.846517,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"조기암 경로당,37.1343306,127.803042,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"세포 경로당,37.1507307,127.8211408,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"주공12단지 경로당,37.217778,127.0411452,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"별묘 경로당,37.111433,127.846263,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"가청 경로당,37.1015,127.851818,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"월드메르디앙 경로당,37.2153557,127.0358016,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"푸르지오 경로당,37.2275631,127.0444019,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"참누리1단지 경로당,37.2200154,127.0504352,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"주공11단지 경로당,37.2163943,127.0449823,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"기산3통 경로당,37.2264579,127.0358969,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"화남2차 경로당,37.2122299,127.0370356,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"중앙경로당,37.3961565,126.9188932,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"서삼경로당,35.5171966,126.6985738,063-560-2668,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"월봉경로당,35.3937752,126.6040233,063-560-2668,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"성원아파트 경로당,37.4069572,126.9525415,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"은하수신성아파트경로당,37.3939936,126.9485664,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"관악주공아파트경로당,37.3953233,126.9477618,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"샛별경로당,37.3956813,126.9523108,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"현지에버빌A경로당,37.430505,126.9023359,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"충훈벌말경로당,37.4060112,126.9000399,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"박달경로당,37.4039701,126.9088107,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"한신1차(아)경로당,37.4047882,126.9052005,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"석수엘지빌리지3·4단지경로당,37.4296829,126.9005066,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"평촌더샵(아),37.4000879,126.9634473,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"한미(아)경로당,37.390064,126.9747663,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"어바인퍼스트2단지 경로당,37.3753,126.9551,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"효성A,37.3854267,126.9475794,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"금호A,37.3815137,126.948384,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"신성미소지움A,37.3833722,126.9493389,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"동안경로당,37.4029346,126.9606927,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"인덕원삼성(아),37.3983918,126.9793475,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"친목마을경로당,37.4084593,126.8859181,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"우성아파트 경로당,37.4004714,126.9082689,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"대림경로당,35.7296342,126.737904,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"선학근린공원 정자2,37.4298703,126.6984022,null,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"선유공원 정자,37.4300237,126.6965675,null,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"임광그대가3차,37.3832741,126.9512218,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"e-편한세상(아)경로당,37.3635062,126.96275,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"호성경로당,37.3638089,126.9641876,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"현대홈타운(아)경로당,37.3646062,126.9606042,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"삼익(아)경로당,37.3659657,126.9589756,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"샘마을쌍용(아),37.3766303,126.9678626,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"인덕원메트로빌(아),37.402061,126.9755495,031-8045-5859,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"부령노우회,35.7285102,126.7307101,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"원도장공원 정자2,37.4243365,126.696943,null,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"연수2녹지 정자,37.4162034,126.6933274,null,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"문화공원 정자,37.4177287,126.6819119,null,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"문화공원 정자7,37.417635,126.6811073,null,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"경우경로당,35.7282736,126.7276083,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"검장경로당,35.6902521,126.743121,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"고창부안축산농협부안지점,35.727003,126.738403,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"부안수협부안지점,35.725544,126.736839,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"부안읍행정복지센터,35.7295981,126.7367095,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"춘양 보건지소,36.938094,128.915682,054-679-6503,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"부안신협,35.724068,126.737028,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"신영통현대2단지경로당,37.2316431,127.0565213,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"상운면사무소,36.83376,128.755154,054-679-6503,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"상운 보건지소,36.835564,128.756602,054-679-6503,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"복탄2경로당,37.1202267,127.8229723,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"오량경로당,37.1228779,127.8472125,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"덕은경로당,37.1442975,127.7963828,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"은대경로당,37.1420127,127.8595279,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"송전경로당,37.1306334,127.8807846,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"국민은행,35.725711,126.737021,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"NH농협은행,35.726541,126.733549,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"광암경로당,36.334438,126.8812043,null,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"현동교,36.651611,129.115446,054-680-6752,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"도천1리 마을회관,36.858691,128.900758,054-679-6503,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"삼동1리 마을회관,36.858808,128.899984,054-679-6503,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"재산면사무소,36.81603,128.961891,054-679-6503,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"재산면 복지회관,36.814579,128.961388,054-679-6503,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"명호면사무소,36.86784,128.922925,054-679-6503,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"문학1리 마을회관,37.1515189,126.9587568,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"중앙경로당,35.7302071,126.7343964,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"야곡 경로당,37.111381,127.879546,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"가정 경로당,37.098799,127.877237,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"용동경로당,34.716949,126.769078,061-430-3934,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"용정경로당,34.7179732,126.7658176,061-430-3934,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"구상경로당,34.722365,126.764456,061-430-3934,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"척동경로당,34.727456,126.761651,061-430-3934,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"군자경로당,34.714632,126.758403,061-430-3934,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"문학4리 마을회관,37.1509825,126.9726669,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"신월경로당,34.753592,126.733924,061-430-3934,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"금당경로당,34.667832,126.731466,061-430-3934,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"성전면사무소,34.692753,126.708887,061-430-3934,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"석포4리 경로당,37.1304289,126.8408211,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"석포5리 경로당,37.1452489,126.8405162,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
